STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AL,36033,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,36037,13,4,9,9,13,0.6923076923076923,3489,0.003725995987388937,0.3076923076923077,0.6923076923076923
AL,36040,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,36049,3,2,1,3,3,1.0,3489,0.0008598452278589854,0.6666666666666666,0.3333333333333333
AL,36064,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,36066,5,3,2,4,5,0.8,3489,0.0014330753797649756,0.6,0.4
AL,36067,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,36069,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,36078,5,1,4,4,5,0.8,3489,0.0014330753797649756,0.2,0.8
AL,36079,4,4,0,4,4,1.0,3489,0.0011464603038119805,1.0,0.0
AL,36081,8,5,3,7,8,0.875,3489,0.002292920607623961,0.625,0.375
AL,36083,3,2,1,3,3,1.0,3489,0.0008598452278589854,0.6666666666666666,0.3333333333333333
AL,36089,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,36092,5,3,2,4,5,0.8,3489,0.0014330753797649756,0.6,0.4
AL,36104,6,1,5,6,6,1.0,3489,0.0017196904557179708,0.16666666666666666,0.8333333333333334
